Sector,Industry,Company,No_Yrs,EPS_Payout,TTM_EPS,PEG,TTM_ROE,TTM_Growth,NY_Growth,DRG_1yr,Debt,Est_2019,Symbol
Industrials,Air Freight & Logistics,FedEx Corp.,17,22.91,11.35,1.61,25.9,-2.3,12.19,27.8,0.9,2.32,FDX
Industrials,Machinery,Franklin Electric Co.,27,27.1,2.14,1.66,12.4,8.4,7.91,10.7,0.3,0.51,FELE
Financials,Insurance,FBL Financial Group Inc.,8,41.82,4.4,1.12,8.8,1.1,8.43,4.5,0,1.86,FFG
Financials,Banks,Flushing Financial Corp.,5,43.96,1.82,1.42,9.1,-31.1,-0.92,11.1,0.21,0.81,FFIC
Financials,Banks,First Financial Bankshares Inc.,8,40.38,2.08,2.93,14.2,7.2,4.92,10.8,0,0.88,FFIN
Financials,Banks,First Horizon Narional Corp.,8,33.94,1.65,1.42,4.4,5.2,8.01,32.4,0.28,0.47,FHN
Financials,Banks,First Interstate Bancsystem Inc.,9,42.26,2.65,1.84,10.3,-5.6,13.9,16.7,0.07,1.13,FIBK
Financials,Banks,Financial Institutions Inc.,8,39.51,2.43,1.38,11.3,-8.1,2.75,10.6,0.1,0.95,FISI
Financials,Banks,Fifth Third Bancorp,9,28.21,3.12,1.43,18.3,31.4,11.16,13.3,1,0.75,FITB
Industrials,Construction & Engineering,Comfort Systems USA Inc.,6,15.79,2.28,2.1,21.2,-29.2,11.93,11.9,0.2,0.33,FIX
Consumer Discretionary,Specialty Retail,Foot Locker Inc.,8,39.66,3.48,1.53,13.4,-39.1,8.11,11.6,0.05,1.36,FL
Financials,Banks,First of Long Island Corp.,23,43.04,1.58,1.88,10.6,9.8,4.58,8.8,1.06,0.68,FLIC
Information Technology,"Electronic Equipment, Instruments & Components",Flir Systems Inc.,8,39.26,1.63,1.37,7.3,20,6.4,6.7,0,0.7,FLIR
Consumer Staples,Food Products,Flowers Foods,17,91.14,0.79,4.72,16.8,-37.8,2.49,6,0.65,0.72,FLO
Financials,Banks,First Mid-Illinois Bancshares Inc.,8,30.13,2.39,1.51,8.5,13.7,4.39,9.1,0.14,0.79,FMBH
Financials,Banks,First Midwest Bancorp,7,33.1,1.45,2.18,5.5,6.9,8.72,13.2,0.1,0.46,FMBI
Financials,Insurance,Fidelity National Financial Inc.,7,53.57,2.24,1.18,18.1,-8.5,4.48,49.6,0.18,1.21,FNF
Industrials,Professional Services,Forrester Research Inc.,7,106.67,0.75,5.02,8.5,-5,18.08,5.3,0,0.81,FORR
Real Estate,Equity Real Estate Investment Trusts (REITs),First Industrial Realty Trust Inc.,6,50.58,1.72,1.9,13.7,61.4,-20.28,5.4,0.8,0.95,FR
Financials,Banks,First Republic Bank,7,14.97,4.81,1.9,10.5,16,12.58,6,0.22,0.78,FRC
Financials,Banks,First Merchants Corp.,7,29.63,2.97,1.76,10.7,12.8,7.33,21.7,0.1,0.92,FRME
Real Estate,Equity Real Estate Investment Trusts (REITs),Federal Realty Inv. Trust,51,141.18,2.89,6.86,10.8,-5.6,2.1,2,1.51,4.06,FRT
Financials,Thrifts & Mortgage Finance,FS Bancorp Inc.,7,14.18,4.23,1.64,12.8,18.4,21.9,23.3,0.07,0.58,FSBW
Financials,Banks,German American Bancorp,7,34.69,1.96,1.66,12.8,6.6,13.83,16.1,0,0.64,GABC
Industrials,Trading Companies & Distributors,GATX Corp.,9,36.51,5.04,1.25,27.8,-24.9,4.11,4.8,2.4,1.78,GATX
Financials,Banks,Glacier Bancorp Inc.,7,51.23,2.03,2.08,9.6,10.5,3.28,21.7,0.1,1.11,GBCI
Industrials,Machinery,Greenbrier Companies Inc.,5,25.91,3.86,0.91,11.9,5.9,4.76,11.4,0.41,1.04,GBX
Industrials,Aerospace & Defense,General Dynamics,27,34.77,10.7,1.43,25.6,15.3,7.61,10.7,1.03,3.99,GD
Real Estate,Equity Real Estate Investment Trusts (REITs),GEO Group Inc.,7,144.62,1.3,1.16,13.1,-3.3,11.63,0.2,2.53,1.9,GEO
Industrials,Building Products,Griffon Corp.,8,96.67,0.3,10.09,27.2,-27.8,34.44,12.8,2.36,0.28,GFF
Industrials,Machinery,Graco Inc.,22,32.82,1.95,2.78,41.1,594.2,7.52,10,0.34,0.58,GGG
Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Gildan Activewear Inc.,8,27.65,1.62,1.78,17.5,9.9,12.13,25,0.45,0.49,GIL
Consumer Staples,Food Products,General Mills,15,77.47,2.53,2.9,33.9,-1,5.57,1,2.29,1.98,GIS
Real Estate,Equity Real Estate Investment Trusts (REITs),Gaming and Leisure Properties,5,150.28,1.81,1.59,16.1,12.3,20.41,2.8,2.31,2.83,GLPI
Materials,Paper & Forest Products,P.H. Glatfelter Co.,6,173.33,0.3,5.8,-13.5,32.7,428.46,1,1.06,0.57,GLT
Consumer Discretionary,Auto Components,Gentex Corp.,8,24.31,1.81,0.78,23.7,29,6.48,13.2,0,0.47,GNTX
Consumer Discretionary,Distributors,Genuine Parts Co.,62,54.14,5.32,1.49,20.8,-1.5,5.5,5.7,0.81,2.86,GPC
Industrials,Machinery,Gorman-Rupp Company,46,36.24,1.49,1.55,11.4,8.1,4.29,8.5,0,0.55,GRC
Financials,Capital Markets,Goldman Sachs Group Inc.,8,13.31,24.05,1.28,6.8,21.3,9.03,8.6,7.08,3.47,GS
Financials,Banks,Great Southern Bancorp Inc.,5,27.06,4.73,1.88,10.5,18,2.87,21.7,0.2,1.23,GSBC
Consumer Discretionary,Auto Components,Goodyear Tire & Rubber Company,6,19.34,3.31,2.66,10.4,-46.3,15.07,31.8,1.36,0.59,GT
Industrials,Trading Companies & Distributors,W.W. Grainger Inc.,47,39.68,13.71,1.62,46.3,1,10.76,5.9,1.15,5.41,GWW
Financials,Banks,Hanmi Financial Corp.,6,51.34,1.87,1.47,10,2.4,8.95,20,0.21,0.98,HAFC
Consumer Discretionary,Leisure Products,Hasbro Inc.,15,57.4,4.39,5.1,11.7,29.3,18.43,10.8,0.91,2.71,HAS
Financials,Banks,Huntington Bancshares Inc.,8,49.12,1.14,1.29,13.2,23.4,6.95,46.9,0.96,0.52,HBAN
Information Technology,IT Services,The Hackett Group Inc.,5,36.96,0.92,1.31,28.3,10.5,8.83,6.7,0.09,0.35,HCKT
Industrials,Commercial Services & Supplies,Healthcare Services Group Inc.,16,75.73,1.03,2.75,17.8,18.4,14.91,2.7,0.02,0.85,HCSG
Consumer Discretionary,Specialty Retail,Home Depot Inc.,9,43.78,9.41,1.38,652.6,18.3,4.79,15.7,19.53,4.53,HD
Industrials,Aerospace & Defense,HEICO Corp.,12,7.73,1.81,3.11,19.8,31.8,10.82,7.7,0.38,0.12,HEI
Financials,Banks,Heritage Financial Corp.,9,50.7,1.42,3.13,6.3,13.7,7.28,41.2,0.03,0.79,HFWA
Industrials,Machinery,Hillenbrand Inc.,12,56.76,1.48,2.29,10.6,-30.4,9.31,1,0.47,0.84,HI
Industrials,Aerospace & Defense,Huntington Ingalls Industries Inc.,7,20.48,16.8,1.37,39.3,-3.8,-15.41,19.8,0.7,3.05,HII
Energy,"Oil, Gas & Consumable Fuels",Hoegh LNG Partners LP,5,94.62,1.86,0.91,17.5,-16.4,-14.89,2.8,1.29,1.77,HMLP
Financials,Insurance,Horace Mann Educators Corp.,9,73.55,1.55,2.11,11.8,-16.1,234.97,3.6,0.23,1.15,HMN
Industrials,Commercial Services & Supplies,HNI Corp.,8,105.36,1.12,3.85,18,-46.6,26.07,3.5,0.45,1.18,HNI
Consumer Discretionary,Automobiles,Harley-Davidson Inc.,8,41.93,3.53,0.98,26.5,-13.3,-3.88,1.4,3.3,1.49,HOG
Financials,Banks,Home Bancshares Inc.,8,27.75,1.73,2.12,8.2,-9.4,4.58,15,0.16,0.46,HOMB
Industrials,Industrial Conglomerates,Honeywell International Inc.,8,57.64,5.69,3.8,15.1,-30.7,-1.43,11.5,1,3.09,HON
Financials,Banks,Hope Bancorp Inc.,7,38.89,1.44,1.25,8.4,10.6,3.23,8,0.15,0.59,HOPE
Real Estate,Equity Real Estate Investment Trusts (REITs),Hospitality Properties Trust,7,108.72,1.95,2.73,11.8,-6.8,-24.64,1.9,1.48,2.13,HPT
Health Care,Health Care Equipment & Supplies,Hill-Rom Holdings Inc.,8,29.85,2.68,3.43,15.2,35.1,11.18,11.1,1.22,0.88,HRC
Consumer Staples,Food Products,Hormel Foods Corp.,53,48.55,1.73,2.33,18.9,10,6.96,10.3,0,0.83,HRL
Industrials,Aerospace & Defense,Harris Corp.,17,44.55,6.15,1.45,24.4,12.2,13.56,14.1,1.24,2.76,HRS
Consumer Staples,Food Products,Hershey Company,9,61.71,4.68,2.38,98,5,5.33,8.2,3.81,2.89,HSY
Financials,Banks,Heritage Commerce Corp.,7,64,0.75,2.54,6.3,11.5,5.99,10,0.11,0.48,HTBK
Industrials,Electrical Equipment,Hubbell Inc.,11,52.91,6.35,1.72,17.3,3.6,6.93,9.8,1.1,3.26,HUBB
Health Care,Health Care Providers & Services,Humana Inc.,8,16.56,12.08,1.59,14.9,335.8,21.13,27.5,0.51,2.09,HUM
Consumer Discretionary,Specialty Retail,Haverty Furniture Companies Inc.,9,55.38,1.3,1.2,8.1,-3,-0.38,33.3,0.18,0.73,HVT
Industrials,Machinery,Hyster-Yale Materials Handling Inc.,7,28.57,4.34,1.07,5.9,101.7,73.36,2.5,0.53,1.36,HY
Financials,Banks,Independent Bank Corp. MI,6,44.17,1.63,1.7,10.4,16.7,14.06,42.9,0.35,0.66,IBCP
Information Technology,IT Services,International Business Machines,23,53.36,11.77,11.9,31.1,-3.3,1.65,5.3,2.37,6.27,IBM
Financials,Banks,Independent Bank Group Inc.,5,13.73,4.08,1.29,7.8,10.7,13.75,35,0.11,0.59,IBTX
Financials,Capital Markets,Intercontinental Exchange Inc.,6,30.38,3.16,1.78,15.4,24.1,9.19,20,0.46,1.06,ICE
Utilities,Electric Utilities,Idacorp Inc.,7,52.72,4.78,7.85,10.4,7.9,0.22,7.1,0,2.59,IDA
Information Technology,Communications Equipment,Interdigital Inc,6,31.67,4.42,1.1,11.8,-31,-30.06,12,0.31,1.41,IDCC
Industrials,Machinery,IDEX Corp.,9,30.6,5.62,1.89,20.4,23.4,7.66,14.5,0.41,1.83,IEX
Materials,Chemicals,International Flavors & Fragrances,16,56.15,5.2,2.87,12.3,8.2,4.98,7.3,1.09,3.03,IFF
Financials,Banks,Independent Bancorp MA,8,34.55,4.4,2.27,10.8,12.4,6.13,16.8,0.11,1.61,INDB
Consumer Staples,Food Products,Ingredion Inc.,8,38.82,6.44,8.09,15.4,12.7,8.96,15.5,0.59,2.67,INGR
Information Technology,Software,Intuit Inc.,8,37.75,4.98,2.98,55.4,29.1,12.93,16.3,0.15,1.8,INTU
Materials,Chemicals,Innospec Inc.,5,21.9,4.11,2.28,7.3,25.7,6.69,15.6,0.27,0.98,IOSP
Consumer Staples,Personal Products,Inter Parfums Inc.,10,67.48,1.63,3.4,11.3,27.6,13.35,23.5,0.12,0.92,IPAR
Communication Services,Media,Interpublic Group of Companies Inc.,6,57.14,1.47,2.07,28.6,-8.4,3.45,16.7,1.56,0.85,IPG
Industrials,Machinery,Ingersoll-Rand plc,8,33.7,6.29,1.04,21.8,-8.2,12.92,15.3,0.56,1.98,IR
Financials,Banks,Investors Bancorp,7,58.67,0.75,1.57,5.3,-5.6,2.48,15.2,1.6,0.38,ISBC
Consumer Discretionary,"Hotels, Restaurants & Leisure",International Speedway Corp.,13,16.1,2.92,1.79,16.5,49.5,5.26,9.3,0.16,0.52,ISCA
Industrials,Machinery,ITT Corp.,6,13.33,4.02,1.63,12.8,43.8,13.64,5.5,0.09,0.59,ITT
Industrials,Machinery,Illinois Tool Works,44,53.55,7.47,1.59,46.8,18.7,6.08,22.3,2.09,3.67,ITW
Financials,Capital Markets,Invesco Limited,9,47.24,2.54,2.25,13.3,18.1,-8.5,3.5,0.85,1.31,IVZ
Industrials,Road & Rail,JB Hunt Transport Services Inc.,16,24.13,4.31,1.72,38.3,65.7,10.71,4.3,0.51,1.06,JBHT
Industrials,Building Products,Johnson Controls International plc,7,42.62,2.44,1.5,10.4,39.1,31.72,4,0.52,1.14,JCI
Information Technology,Software,j2 Global Inc.,8,59.79,2.91,3.22,9.3,0.7,7.28,10.5,0.97,1.69,JCOM
Consumer Staples,Food Products,J&J Snack Foods Corp.,15,50.25,3.98,6.46,14.2,-5.3,6.38,7.1,0,1.82,JJSF
Information Technology,IT Services,Jack Henry & Associates,28,41.23,3.59,3.38,31.2,6,12.06,19.4,0,1.57,JKHY
Real Estate,Real Estate Management & Development,Jones Lang Lasalle,8,7.49,10.95,1.27,10.5,23.7,0.24,13.9,0.28,0.9,JLL
Health Care,Pharmaceuticals,Johnson & Johnson,56,64.17,5.61,3.49,2.2,-12.2,5.83,6.6,0.48,3.58,JNJ
Consumer Discretionary,Leisure Products,Johnson Outdoors Inc.,6,11.41,4.91,0.91,15.3,38.5,9.6,29.7,0,0.53,JOUT
Financials,Banks,JPMorgan Chase & Co.,8,35.6,8.99,1.2,11.3,10.5,7.93,21.6,1.17,2.73,JPM
Communication Services,Media,John Wiley & Sons Inc.,25,39.64,3.33,1.04,16.4,70,6.75,3.2,0.46,1.43,JW-A
Consumer Staples,Food Products,Kellogg Company,15,42.11,5.32,3.31,69.7,85.5,-0.14,3.8,2.93,2.42,K
Industrials,Machinery,Kadant Inc.,6,24.58,3.58,2.98,12.5,-13.1,16.09,6.1,0.54,0.88,KAI
Materials,Metals & Mining,Kaiser Aluminum Corp.,8,44.94,5.34,1.44,7,-5.9,20.16,10,0,2.22,KALU
Industrials,Commercial Services & Supplies,KAR Auction Services Inc.,6,55.78,2.51,2.35,28.5,22.6,8.03,9.4,1.71,1.54,KAR
Financials,Banks,KeyCorp,8,40,1.7,1.42,10.1,56.4,8.7,48.7,1.01,0.62,KEY
Consumer Staples,Food Products,Kraft Heinz Company,6,88.65,2.82,3.03,15.8,15.7,2.61,2,0.5,2.75,KHC
Real Estate,Equity Real Estate Investment Trusts (REITs),Kimco Realty Corp.,8,211.32,0.53,7,9.1,12.8,-37.3,3.7,0.91,1.23,KIM
Information Technology,Semiconductors & Semiconductor Equipment,KLA-Tencor Corp.,9,35.38,8.48,1.81,63.4,28.9,1.72,25.7,0,3.12,KLAC
Consumer Staples,Beverages,Coca-Cola Company,56,99.36,1.57,4.64,15.1,-26.4,6.52,5.4,2.45,1.58,KO
Consumer Staples,Food & Staples Retailing,Kroger Company,13,16.97,3.3,1.56,50.7,-47.6,5.74,8.2,1.96,0.54,KR
Consumer Discretionary,Multiline Retail,Kohl's Corp.,8,47.29,5.16,1.24,18.3,38.5,4.19,10.9,0.72,2.68,KSS
Industrials,Road & Rail,Kansas City Southern,7,24.28,5.93,1.28,20.9,17.8,13.69,6.7,0.56,1.58,KSU
Real Estate,Real Estate Management & Development,Kennedy-Wilson Holdings Inc.,9,69.42,1.21,2.06,16.6,-6,-117.9,11.8,4.31,0.77,KW
Materials,Chemicals,Quaker Chemical Corp.,11,42.53,3.48,4.61,9.9,-59.8,20.42,3.6,0.12,1.46,KWR
Consumer Discretionary,Specialty Retail,Lithia Motors Inc.,9,8.77,13.23,0.45,25.8,43.2,5.8,7.5,2.72,1.25,LAD
Real Estate,Equity Real Estate Investment Trusts (REITs),Lamar Advertising Co.,5,124.32,2.96,8.39,27.5,4.3,15.28,9.9,2.32,3.81,LAMR
Financials,Capital Markets,Lazard Limited,11,29.43,5.98,1.45,30.6,74.2,-0.17,7.5,1.34,1.9,LAZ
Financials,Banks,Lakeland Bancorp Inc.,8,35.94,1.28,1.36,10.2,15.9,2.89,12.7,0.44,0.49,LBAI
Consumer Discretionary,Auto Components,Lear Corp.,8,15.9,17.61,1.23,32.2,26.3,12.06,40,0.46,3.08,LEA
Industrials,Machinery,Lincoln Electric Holdings,24,48.21,3.9,1.5,23.7,42.3,13.05,11.4,0.75,1.72,LECO
Consumer Discretionary,Household Durables,Leggett & Platt Inc.,47,60.8,2.5,2.64,24.7,-4.4,8.54,5.7,1.16,1.49,LEG
Information Technology,"Electronic Equipment, Instruments & Components",Littelfuse Inc.,9,25.22,6.82,2.15,9,58,8.21,14.3,0.46,1.76,LFUS
Industrials,Chemicals,Linde Plc,25,52.46,6.29,2.36,23.3,8.9,13.8,4.8,1.33,3.59,LIN
Financials,Banks,Lakeland Financial Corp.,7,35.99,2.89,1.56,13.7,17.1,6.79,17.6,0.06,1.1,LKFN
Industrials,Aerospace & Defense,L3 Technologies Inc.,15,29.74,10.76,1.16,20,7.8,11.63,6.7,0,3.45,LLL
Financials,Capital Markets,Legg Mason Inc.,8,151.11,0.9,5.34,7.5,-69.2,1.69,24,0.57,1.25,LM
Health Care,Health Care Equipment & Supplies,LeMaitre Vascular Inc.,8,27.72,1.01,1.58,18.1,52.2,-11.18,33.3,0,0.31,LMAT
Consumer Staples,Food Products,Limoneira Company,11,49.18,0.61,2.41,10.5,37.4,49.5,13.6,0.37,0.28,LMNR
Financials,Insurance,Lincoln National Corp.,9,42.9,3.45,1.59,12.9,-31.6,6.99,13.8,0.39,1.33,LNC
Industrials,Machinery,Lindsay Corp.,16,64.25,1.93,1.94,6.6,-2.4,35.78,3.4,0.42,1.23,LNN
Utilities,Electric Utilities,Alliant Energy Corp.,16,65.74,2.16,2.84,12,15.8,4.16,6.3,1.29,1.47,LNT
Information Technology,"Technology Hardware, Storage & Peripherals",Logitech International,5,47.75,1.44,2.16,23.5,9.6,7.83,8.4,0,0.75,LOGI
Consumer Discretionary,Specialty Retail,Lowe's Companies,56,42.48,4.52,1.39,64.6,18.4,17.99,17.1,2.89,1.96,LOW
Information Technology,Semiconductors & Semiconductor Equipment,Lam Research Corp.,5,27.04,16.27,1.89,38.4,78.2,6.39,77.8,0.45,3.52,LRCX
Real Estate,Equity Real Estate Investment Trusts (REITs),Life Storage Inc.,6,137.46,2.91,6.75,6.7,5.6,-3.25,1.3,0.87,4.22,LSI
Industrials,Road & Rail,Landstar System Inc.,14,13.81,4.78,1.07,36.8,15.3,5.21,65.8,0.21,0.69,LSTR
Financials,Banks,LegacyTexas Financial Group Inc.,9,34.36,2.91,1.37,9.4,3.9,4.81,14.8,0.13,0.73,LTXB
Industrials,Airlines,Southwest Airlines Co.,7,14.88,4.3,0.76,35.2,-2.5,6.9,20,0.34,0.58,LUV
Consumer Discretionary,"Hotels, Restaurants & Leisure",Las Vegas Sands Corp.,8,98.09,3.14,4.2,54.4,37,6.7,2.7,1.75,3.3,LVS
Real Estate,Equity Real Estate Investment Trusts (REITs),Lexington Realty Trust,9,77.17,0.92,2.09,15.1,-12.7,-47.73,1.4,1.29,0.72,LXP
Consumer Discretionary,Household Durables,La-Z-Boy Inc.,7,27.51,1.89,2.01,13.7,3.3,9.81,8.9,0.06,0.51,LZB
Information Technology,IT Services,MasterCard Inc.,8,23.28,5.67,1.65,93.4,18.7,16.82,13.6,1.1,1.1,MA
Real Estate,Equity Real Estate Investment Trusts (REITs),Mid-America Apartment Communities Inc.,9,155.47,2.47,5.86,4.5,6.3,7.26,6,0.73,3.92,MAA
Real Estate,Equity Real Estate Investment Trusts (REITs),Macerich Company,9,447.76,0.67,329.55,2.5,-68,7.82,3.5,1.73,3,MAC
Financials,Capital Markets,Main Street Capital Corp.,8,64.11,3.65,1.44,15.4,10.9,2.08,2.7,0.63,2.52,MAIN
Industrials,Professional Services,ManpowerGroup Inc.,8,24.88,8.12,1.79,22.1,10,-5.66,8.6,0.4,2.22,MAN
Consumer Discretionary,"Hotels, Restaurants & Leisure",Marriott International Inc.,9,25.75,6.37,0.97,55,95.4,3.23,20.9,4.01,1.72,MAR
Industrials,Marine,Matson Inc.,7,36.05,2.33,0.96,36.4,-3.7,-0.48,5.1,1.22,0.83,MATX
Financials,Banks,MB Financial Inc.,7,39.51,2.43,2.29,11.1,6.2,11.95,17.1,0.21,1.02,MBFI
Financials,Banks,Mercantile Bank Corp.,8,41.11,2.53,1.64,9.8,1.1,7.8,25.7,0.12,0.94,MBWM
Financials,Capital Markets,Moelis & Company,5,28.79,6.53,0.68,21.9,252.7,0,27,0,2.07,MC
Financials,Banks,Macatawa Bank Corp.,5,39.44,0.71,1.73,11,17.9,7.04,38.9,0.22,0.28,MCBC
Information Technology,Semiconductors & Semiconductor Equipment,Microchip Technology Inc.,17,64.23,2.27,2.83,0.7,327.1,8.92,0.6,2.11,1.6,MCHP
Financials,Capital Markets,Moody's Corp.,9,40.84,4.31,2.71,842.6,184.3,6.68,15.8,12.38,1.94,MCO
Communication Services,Entertainment,Marcus Corp.,5,29.7,2.02,1.47,17.2,13.6,4.27,20,0.63,0.66,MCS
Financials,Insurance,Mercury General Corp.,32,164.05,1.53,0.89,5.6,82.6,64.12,0.4,0.21,2.75,MCY
Consumer Staples,Food Products,Mondelez International Inc.,7,46.85,2.22,2.62,13.5,77.3,2.43,12.2,0.79,1.01,MDLZ
Utilities,Multi-Utilities,MDU Resources,28,59.12,1.37,2.67,12.6,5.3,10.06,2.6,0.76,0.83,MDU
Materials,Chemicals,Methanex Corp.,8,22.8,5.79,0.42,31.6,60.5,-16,12.3,1,1.45,MEOH
Financials,Insurance,MetLife Inc.,6,34.85,4.82,0.57,9.6,35.7,3.05,3.7,0.33,1.83,MET
Financials,Insurance,Manulife Financial Corporation,5,91.74,1.09,1.67,6.2,-13.5,4.64,11,0.33,0.92,MFC
Financials,Banks,Mackinac Financial Corp.,6,53.33,0.9,1.75,4.3,66,12.78,4.3,0,0.53,MFNC
Financials,Banks,MutualFirst Financial Inc.,5,38.83,2.06,2.82,8.3,8.6,18.39,12.1,0.09,0.8,MFSF
Consumer Discretionary,Auto Components,Magna International Inc.,8,19.73,6.69,1.82,21.2,13,6.07,20,0.42,1.45,MGA
Industrials,Commercial Services & Supplies,McGrath Rentcorp,26,47.39,2.87,1.76,32.2,32.8,7.61,23.7,0.56,1.41,MGRC
Consumer Staples,Food Products,McCormick & Co.,33,51.7,4.41,3.04,30.2,27.6,8.43,10.6,1.48,2.29,MKC
Information Technology,Semiconductors & Semiconductor Equipment,MKS Instruments Inc.,8,10.6,7.55,0.86,23.1,234.6,-1.26,10.6,0.19,0.86,MKSI
Financials,Capital Markets,MarketAxess Holdings Inc.,11,44.84,4.55,1.84,29.3,25.6,14.49,27.3,0,1.85,MKTX
Financials,Insurance,Marsh & McLennan Companies Inc.,9,43.23,3.84,2.24,20,11.4,7.84,10.5,0.83,1.74,MMC
Industrials,Industrial Conglomerates,3M Company,60,59.91,9.08,2.45,41.9,12.4,7.95,15.7,1.45,5.98,MMM
Energy,"Oil, Gas & Consumable Fuels",Magellan Midstream Partners LP,19,72.41,5.51,1.44,56.1,8.2,-16.95,7.7,1.68,4.1,MMP
Consumer Discretionary,Specialty Retail,Monro Inc.,14,35.4,2.26,1.76,11.2,11.6,12.12,9.9,0.6,0.86,MNRO
Consumer Staples,Tobacco,Altria Group Inc.,49,81.63,3.92,1.5,68.7,-51.1,6.11,14.9,0.9,2.89,MO
Financials,Banks,MidWest One Financial Group Inc.,9,40.7,1.99,1.74,6,2,4.46,16.4,0.09,0.8,MOFG
Energy,"Oil, Gas & Consumable Fuels",Marathon Petroleum Corp.,9,42.32,5.01,0.38,26,70.3,10.24,21.1,1.22,2.02,MPC
Energy,"Oil, Gas & Consumable Fuels",MPLX LP,7,123.92,2.09,0.46,18.8,132.1,6.54,12.7,2.04,2.74,MPLX
Real Estate,Equity Real Estate Investment Trusts (REITs),Medical Properties Trust Inc.,5,36.36,2.75,1.06,25.3,-4.3,-62.83,4.2,0.9,1,MPW
Health Care,Pharmaceuticals,Merck & Company,8,99.55,2.21,3.47,10.1,29.2,8.24,2.1,0.73,2.11,MRK
Financials,Capital Markets,Morgan Stanley,5,25.42,4.72,0.66,10,23.7,9.05,22.2,6.08,1.21,MS
Industrials,Commercial Services & Supplies,MSA Safety Inc.,47,70.7,2.15,2.59,10.6,-51.2,8.49,8,0.6,1.5,MSA
Financials,Capital Markets,MSCI Inc.,5,47.06,4.93,1.82,108.7,36.3,12.41,45.5,6.8,2.11,MSCI
Utilities,Water Utilities,Middlesex Water Co.,46,52.75,1.82,11.42,13,-2.7,4.59,6.3,0.8,0.92,MSEX
Information Technology,Software,Microsoft Corp.,17,43.91,4.19,1.74,23.1,19.3,13.28,8.2,0.94,1.89,MSFT
Consumer Discretionary,"Hotels, Restaurants & Leisure",Vail Resorts Inc.,8,108.09,5.44,38.42,18.9,46.9,14.05,37.6,1.15,6.01,MTN
Materials,Metals & Mining,Materion Corp.,6,17.65,2.38,1.64,6.5,10.2,8.2,5.1,0.04,0.46,MTRN
Information Technology,"Electronic Equipment, Instruments & Components",National Instruments Corp.,6,91.74,1.09,0.73,6.4,45.2,14.96,9.5,0,1.01,NATI
Financials,Banks,NBT Bancorp Inc.,6,43.15,2.41,2.96,10.5,9.7,3.03,7.6,0.18,1.09,NBTB
Financials,Capital Markets,Nasdaq Inc.,7,44.78,3.93,1.88,13.2,496.3,7.53,16.4,0.69,1.87,NDAQ
Industrials,Machinery,Nordson Corp.,55,23.18,6.04,1.73,27.3,18.8,9.81,9.6,0.92,1.38,NDSN
Utilities,Electric Utilities,NextEra Energy Inc.,24,34.69,12.8,1.65,25.7,18.5,7.72,13,0.95,4.88,NEE
Utilities,Independent Power and Renewable Electricity Producers,NextEra Energy Partners LP,6,67.88,2.74,0.59,3.8,-64.5,1.15,14.9,1.95,1.73,NEP
Financials,Thrifts & Mortgage Finance,Northfield Bancorp Inc.,6,48.19,0.83,2.15,4.4,31.5,-5.01,17.6,0.67,0.44,NFBK
Utilities,Gas Utilities,National Fuel Gas,48,51.05,3.33,2.02,20.5,1.1,1.82,2.4,1.1,1.7,NFG
Real Estate,Equity Real Estate Investment Trusts (REITs),National Health Investors,16,108.11,3.7,2.25,11.6,0.1,3.35,5.3,0.89,3.95,NHI
Utilities,Gas Utilities,New Jersey Resources,23,22.16,5.28,1.53,16.4,245.1,7.33,7,1.03,1.22,NJR
Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Nike Inc.,17,34.24,2.57,2.25,23.1,-4.6,18.36,11.1,0.4,0.81,NKE
Industrials,Professional Services,Nielsen Holdings plc,6,117.65,1.19,2.46,7.7,7.4,27.07,4.5,2.14,1.49,NLSN
Real Estate,Equity Real Estate Investment Trusts (REITs),National Retail Properties,29,140.85,1.42,3.72,9.8,0.7,-9.35,4.8,0.91,1.96,NNN
Industrials,Aerospace & Defense,Northrop Grumman,15,27.59,17.4,0.65,34.2,8.1,3.43,20.5,1.58,5.08,NOC
Materials,Paper & Forest Products,Neenah Paper Inc.,8,75.93,2.16,2.81,10.5,1,26.95,10.8,0.63,1.66,NP
Industrials,Professional Services,Insperity Inc.,8,26.14,3.06,1.94,144.4,34.6,16.1,39.1,0.69,0.88,NSP
Information Technology,"Technology Hardware, Storage & Peripherals",NetApp Inc.,6,38.19,4.19,0.88,14.6,86.8,10.96,53.8,1.17,1.32,NTAP
Financials,Capital Markets,Northern Trust Corp.,8,36.64,6.55,0.95,14.5,8.5,9.82,24.4,12.51,2.1,NTRS
Materials,Metals & Mining,Nucor Corp.,46,26.53,6.03,0.95,22.3,43.1,-17.83,0.7,0.44,1.67,NUE
Consumer Staples,Personal Products,Nu Skin Enterprises Inc.,18,40,3.65,2.07,20.1,26.6,14.02,1.4,0.54,1.61,NUS
Information Technology,Semiconductors & Semiconductor Equipment,NVIDIA Corp.,7,8.79,7.28,1.31,56.1,79.6,-1.29,7,0.21,0.67,NVDA
Financials,Thrifts & Mortgage Finance,Northwest Bancshares Inc.,10,70.59,1.02,2.47,7.9,80.6,1.3,6.3,0.23,0.75,NWBI
